#! 1.step 2.t, ps 3.U, eV 4.K, eV 5.T, K 6.s11, bar 7.s22, bar 8.s33, bar 9.s12, bar 10.s23, bar 11.s31, bar 12.Pxx, bar 13.Pyy, bar 14.Pzz, bar 15.Pxy, bar 16.Pyz, bar 17.Pzx, bar #18.fdx, eV 19.fdy, eV 20.fdz, eV 21.nn 23.ucz, A
# TimeStep v_time c_pe c_ke c_temp v_s11 v_s22 v_s33 v_s12 v_s23 v_s31 c_p[1] c_p[2] c_p[3] c_p[4] c_p[6] c_p[5] c_fdx c_fdy c_fdz c_cn c_ucz
7800 7.7005 -7.43297 0.0379079 293.559 22474.8 -4265.99 -1308.66 56.4119 -58.0963 -75.131 -113.109 1628.34 602.993 -14.4143 25.9738 33.0065 -0.0249179 -0.0255854 -0.0257222 2.94412 0.163072
8000 7.9005 -7.43291 0.0378454 293.076 22367.5 -4981.62 -1887.33 -1288.32 4.31295 -21.422 -51.2375 1883.73 858.824 491.632 1.10861 5.7846 -0.0250618 -0.0252974 -0.0263466 2.94412 0.117294
8200 8.1005 -7.43267 0.0383531 297.007 22281.5 -4386.81 -2571.67 -359.749 -23.5344 -23.1806 -24.5754 1645.4 1044.22 137.496 2.41595 8.93321 -0.02499 -0.026077 -0.025983 2.94412 0.0892349
8400 8.3005 -7.43259 0.0382295 296.05 21865.3 -6278.18 -2433.8 795.603 -39.1582 2.28262 133.194 2392.73 1041.45 -301.348 14.3844 -2.75365 -0.0251414 -0.0256387 -0.0265828 2.94412 0.0686875
8600 8.5005 -7.43279 0.0382268 296.029 21762.7 -6550.51 -2518.24 549.68 -19.4586 17.1208 174.227 2462.9 1083.23 -209.854 14.0138 -4.5078 -0.0249676 -0.0254736 -0.0268376 2.94412 0.057596
8800 8.7005 -7.4326 0.0383373 296.885 22097.8 -5130.85 -2896.45 -239.884 5.01593 -13.151 49.362 1973.49 1148.38 88.3749 -3.7649 7.13062 -0.0250003 -0.0247472 -0.0271235 2.94412 0.0591116
9000 8.9005 -7.43248 0.0384328 297.624 22084.3 -5308.65 -2723.46 -720.075 7.96015 -12.5818 46.9044 1969.07 1133.88 265.398 -1.01185 5.64053 -0.0247204 -0.0261118 -0.0272072 2.94412 0.0409539
9200 9.1005 -7.43263 0.038296 296.565 22064.9 -5305.56 -2629.61 -109.229 31.2052 -13.5643 61.4526 2004.4 1123.58 51.2378 -4.17823 3.09798 -0.024981 -0.0255405 -0.0269848 2.94412 0.042528
9400 9.3005 -7.43312 0.0379853 294.159 22173.3 -5162.41 -2148.31 437.992 -44.758 11.7192 19.024 1976.8 940.352 -142.286 17.4578 -7.21003 -0.0249386 -0.0251102 -0.0257941 2.94412 0.0749718
9600 9.5005 -7.43309 0.0376094 291.248 22349.7 -4380.76 -1893.5 33.8042 31.7461 -39.322 -57.5034 1622.22 810.795 -2.25696 -10.8352 12.1992 -0.0249445 -0.0255861 -0.0261748 2.94412 0.116735
9800 9.7005 -7.43304 0.0377086 292.016 22214.6 -4681.91 -1672.36 -40.5028 -11.5548 3.1356 6.13792 1775.61 715.03 3.60509 15.6297 -2.8297 -0.0250348 -0.0254664 -0.0255433 2.94412 0.1636
10000 9.9005 -7.43331 0.037312 288.945 22634.9 -2734.43 -1390.26 218.868 25.5238 0.521941 -150.438 1030.77 650.013 -78.551 1.88987 1.24657 -0.0247372 -0.0258286 -0.0255326 2.94412 0.182789
10200 10.1005 -7.43337 0.0373205 289.011 22476.2 -3473.31 -1430.21 32.5501 75.551 10.0535 -107.737 1310.51 656.895 -34.8887 -25.57 -3.85027 -0.0253052 -0.0253896 -0.0246945 2.94412 0.188904
10400 10.3005 -7.43337 0.0374068 289.679 22690.9 -2966.57 -1660.23 292.941 -6.50771 9.5973 -181.027 1092.43 738.898 -103.03 6.51132 -2.21051 -0.0256318 -0.0251277 -0.0250562 2.94412 0.197338
10600 10.5005 -7.43321 0.0374304 289.862 22925.1 -2199.64 -1868.8 -66.1324 21.2124 25.5404 -270.511 813.436 780.515 24.9669 -5.93239 -9.38297 -0.0258598 -0.0251224 -0.02489 2.94412 0.199792
10800 10.7005 -7.43316 0.0377618 292.428 22376.7 -4376.61 -1408.37 -411.739 -85.6756 -9.68869 -49.7201 1653.17 626.994 151.052 26.8119 3.3383 -0.0255453 -0.0250959 -0.0258009 2.94412 0.198908
11000 10.9005 -7.43283 0.0377959 292.692 22399.7 -4192.77 -1476.6 -310.161 -14.3033 -0.371295 -62.3765 1584 662.616 125.023 0.283083 -0.413816 -0.0259661 -0.0250199 -0.0254793 2.94412 0.175913
11200 11.1005 -7.43259 0.0380922 294.987 22450.2 -3926.84 -1600.09 -72.9298 -49.4492 -12.4811 -98.3412 1469.77 734.724 32.4971 16.0942 5.7793 -0.0261421 -0.0258067 -0.0253141 2.94412 0.14635
11400 11.3005 -7.43241 0.0384378 297.663 21992.4 -5198.18 -1662.97 -149.177 -18.6308 -0.187306 85.2632 1942.11 743.881 51.9584 11.5277 0.661254 -0.0263318 -0.02589 -0.0251821 2.94412 0.138324
11600 11.5005 -7.43236 0.038409 297.44 22829.8 -1563.46 -1736.21 -92.9554 40.136 4.86019 -277.136 320.684 745.693 46.2889 -12.9878 -0.942085 -0.0261432 -0.0259831 -0.0252968 2.94412 0.138615
11800 11.7005 -7.43226 0.038395 297.331 23581.1 1036.8 -1900.16 -237.444 39.1865 20.0305 -633.814 -992.544 826.624 86.5605 -10.2947 -9.34336 -0.0261029 -0.0260765 -0.0258225 2.94412 0.14052
12000 11.9005 -7.43226 0.0384277 297.585 23514.9 600.49 -1657.26 -218.56 -23.0151 -46.3995 -617.393 -974.015 752.567 74.8265 17.6102 17.0811 -0.026097 -0.0257767 -0.0260679 2.94412 0.14107
12200 12.1005 -7.43217 0.0385221 298.316 23676.1 1623.79 -2116.67 -201.851 -2.83018 26.1232 -688.265 -1321.89 871.798 85.9955 -0.553398 -8.75288 -0.0263543 -0.0255174 -0.0259414 2.94412 0.143659
12400 12.3005 -7.43207 0.0386346 299.187 23325.7 -13.4983 -2375.15 60.9746 -63.0371 -14.2834 -521.898 -485.751 974.709 -15.9615 23.3389 4.36219 -0.026551 -0.0257766 -0.0257961 2.94412 0.128096
12600 12.5005 -7.43215 0.0388649 300.97 22428.5 -4322.9 -1936.98 -114.21 -54.3806 -47.9375 -105.855 1439.46 845.414 37.5592 20.5974 16.5097 -0.0269904 -0.0259897 -0.0254105 2.94412 0.111035
12800 12.7005 -7.43186 0.0389004 301.246 22291 -4650.44 -1764.2 -62.875 -2.66813 41.409 -43.8868 1677.91 779.153 14.8119 0.804324 -15.5332 -0.0271115 -0.0256713 -0.025638 2.94412 0.101502
13000 12.9005 -7.43171 0.0390786 302.625 22680.4 -2805.94 -1800.99 -92.8142 -5.24514 -20.0491 -231.196 752.842 811.746 41.0855 0.316798 10.162 -0.0271377 -0.0264545 -0.0255248 2.94412 0.102896
13200 13.1005 -7.43135 0.0392457 303.919 23321 -18.8061 -1813.33 92.5116 -47.8385 34.9987 -546.605 -634.415 786.838 -49.3878 16.3795 -13.6487 -0.0274228 -0.0264242 -0.0260179 2.94412 0.111382
13400 13.3005 -7.43115 0.039508 305.951 23837.8 2304.95 -1729.03 -24.8983 12.0661 -52.6245 -768.889 -1705.53 749.507 -1.82952 -2.36449 18.112 -0.0278926 -0.0262207 -0.0258497 2.94412 0.11096
13600 13.5005 -7.43098 0.0398762 308.802 23618.8 1445.28 -1575.44 -67.3677 -19.4256 58.5862 -667.476 -1357.57 720.533 35.1823 7.92814 -23.1121 -0.02799 -0.0262736 -0.0262081 2.94412 0.112398
13800 13.7005 -7.43077 0.0401147 310.649 22876.7 -1769.53 -2092.46 -85.0824 -19.585 -51.9465 -357.827 122.76 891.125 54.9913 14.3524 20.2572 -0.0282374 -0.0268425 -0.0261574 2.94412 0.126912
14000 13.9005 -7.43061 0.040257 311.751 22966.9 -2103.07 -2401.53 89.8826 43.7537 40.9293 -317.535 542.686 981.601 -33.045 -5.97374 -14.9043 -0.028182 -0.0262826 -0.026792 2.94412 0.145772
14200 14.1005 -7.43067 0.0404887 313.545 22310.3 -4733.85 -2313.87 230.646 23.848 0.700269 -43.6897 1666.41 958.579 -76.516 -12.3059 -3.55645 -0.0281752 -0.0265858 -0.026804 2.94412 0.147301
14400 14.3005 -7.4305 0.0403809 312.71 22573.4 -3661.85 -1880.36 -109.427 -80.1028 -20.9636 -182.811 1180.12 824.295 42.4761 30.2386 8.15568 -0.0280794 -0.0268371 -0.0266917 2.94412 0.13557
14600 14.5005 -7.43048 0.0402121 311.403 23546 534.644 -1529.11 -293.892 102.105 68.2782 -596.011 -716.512 676.919 78.6006 -32.0756 -24.0709 -0.0282324 -0.0269687 -0.0266192 2.94412 0.129373
14800 14.7005 -7.43068 0.0401206 310.695 23373.2 549.429 -1450.56 255.127 16.0498 -100.547 -562.471 -906.873 665.979 -96.7731 -6.05213 38.6834 -0.0281317 -0.0271162 -0.0259465 2.94412 0.126666
