#! 1.step 2.t, ns 3.U, eV 4.K, eV 5.T, K 
# TimeStep v_time c_pe c_ke c_temp
32000 31.9005 -7.40222 0.024751 191.682
32200 32.1005 -7.4022 0.0249821 193.471
32400 32.3005 -7.40198 0.0250268 193.818
32600 32.5005 -7.40208 0.0253733 196.501
32800 32.7005 -7.40171 0.0252346 195.427
33000 32.9005 -7.40163 0.025538 197.777
33200 33.1005 -7.40159 0.0257417 199.354
33400 33.3005 -7.4013 0.0257211 199.194
33600 33.5005 -7.40129 0.0260209 201.516
33800 33.7005 -7.40101 0.0260228 201.531
34000 33.9005 -7.40098 0.026316 203.802
34200 34.1005 -7.40082 0.0264377 204.744
34400 34.3005 -7.40054 0.0264627 204.938
34600 34.5005 -7.40043 0.0267021 206.792
34800 34.7005 -7.40024 0.0268193 207.7
35000 34.9005 -7.40005 0.0269732 208.891
35200 35.1005 -7.39984 0.0271156 209.994
35400 35.3005 -7.39978 0.0273292 211.648
35600 35.5005 -7.39972 0.0275617 213.449
35800 35.7005 -7.39958 0.0276119 213.838
36000 35.9005 -7.39947 0.0277914 215.228
36200 36.1005 -7.39936 0.0279467 216.431
36400 36.3005 -7.39922 0.0280299 217.075
36600 36.5005 -7.39903 0.0281876 218.296
36800 36.7005 -7.39888 0.0283537 219.583
37000 36.9005 -7.3987 0.0284742 220.516
37200 37.1005 -7.39866 0.0287624 222.748
37400 37.3005 -7.39848 0.0287725 222.826
37600 37.5005 -7.39823 0.0288772 223.636
37800 37.7005 -7.39829 0.0292088 226.205
38000 37.9005 -7.39802 0.0292071 226.192
38200 38.1005 -7.39783 0.0293864 227.58
38400 38.3005 -7.3976 0.0294618 228.164
38600 38.5005 -7.39739 0.0296291 229.46
38800 38.7005 -7.39739 0.0299328 231.812
39000 38.9005 -7.39725 0.0300328 232.586
39200 39.1005 -7.39706 0.0301463 233.465
39400 39.3005 -7.39705 0.0303711 235.206
39600 39.5005 -7.39675 0.0303545 235.078
39800 39.7005 -7.39675 0.0306773 237.578
40000 39.9005 -7.39657 0.030732 238.001
40200 40.1005 -7.39643 0.0309546 239.725
40400 40.3005 -7.39622 0.0310352 240.349
40600 40.5005 -7.39607 0.0311773 241.449
40800 40.7005 -7.39593 0.0313418 242.723
41000 40.9005 -7.39595 0.0315801 244.569
41200 41.1005 -7.39567 0.0316073 244.78
41400 41.3005 -7.3955 0.0317786 246.106
41600 41.5005 -7.39534 0.031923 247.224
41800 41.7005 -7.39514 0.0320629 248.308
42000 41.9005 -7.39513 0.0323011 250.152
42200 42.1005 -7.3949 0.0323723 250.704
42400 42.3005 -7.39486 0.0326243 252.656
42600 42.5005 -7.39473 0.0327004 253.245
42800 42.7005 -7.39451 0.0327987 254.006
43000 42.9005 -7.39439 0.0330009 255.572
43200 43.1005 -7.39425 0.0331898 257.035
43400 43.3005 -7.39411 0.0333335 258.148
43600 43.5005 -7.39397 0.0334347 258.932
43800 43.7005 -7.39374 0.0335226 259.612
44000 43.9005 -7.39373 0.0338091 261.831
44200 44.1005 -7.39358 0.0339129 262.635
44400 44.3005 -7.39332 0.0339764 263.127
44600 44.5005 -7.39327 0.03424 265.168
44800 44.7005 -7.39293 0.0342341 265.123
45000 44.9005 -7.39294 0.0345744 267.758
45200 45.1005 -7.39282 0.0346863 268.625
45400 45.3005 -7.39267 0.0348389 269.807
45600 45.5005 -7.39262 0.0350089 271.123
45800 45.7005 -7.39237 0.035054 271.472
46000 45.9005 -7.39208 0.0351135 271.933
46200 46.1005 -7.39206 0.0354225 274.326
46400 46.3005 -7.39177 0.0354485 274.528
46600 46.5005 -7.39191 0.0358659 277.76
46800 46.7005 -7.39149 0.0357208 276.636
47000 46.9005 -7.39146 0.0360361 279.078
47200 47.1005 -7.39141 0.0362052 280.388
47400 47.3005 -7.39126 0.036331 281.362
47600 47.5005 -7.39114 0.0364915 282.605
47800 47.7005 -7.3908 0.0364707 282.444
48000 47.9005 -7.39075 0.036732 284.467
48200 48.1005 -7.39072 0.0369587 286.223
48400 48.3005 -7.39045 0.0370025 286.562
48600 48.5005 -7.39036 0.0372274 288.304
48800 48.7005 -7.39025 0.0373966 289.614
49000 48.9005 -7.38996 0.037367 289.385
49200 49.1005 -7.39004 0.0377825 292.603
49400 49.3005 -7.38955 0.0376112 291.277
49600 49.5005 -7.38973 0.0380906 294.989
49800 49.7005 -7.38937 0.0380017 294.301
50000 49.9005 -7.3892 0.0381786 295.671
50200 50.1005 -7.38918 0.0384365 297.668
50400 50.3005 -7.38864 0.0389496 301.642
50600 50.5005 -7.38754 0.0399126 309.099
50800 50.7005 -7.38918 0.0384182 297.526
51000 50.9005 -7.38849 0.038897 301.234
51200 51.1005 -7.38815 0.0394782 305.735
51400 51.3005 -7.38934 0.0380491 294.668
51600 51.5005 -7.38829 0.0392578 304.028
51800 51.7005 -7.38937 0.0382509 296.23
52000 51.9005 -7.38948 0.0378871 293.413
52200 52.1005 -7.38843 0.0390194 302.182
52400 52.3005 -7.38918 0.0381716 295.617
52600 52.5005 -7.38987 0.0376975 291.945
52800 52.7005 -7.38884 0.0388973 301.236
53000 52.9005 -7.38888 0.0383027 296.632
53200 53.1005 -7.38931 0.0380726 294.85
53400 53.3005 -7.38815 0.0395141 306.013
53600 53.5005 -7.38891 0.0385421 298.485
53800 53.7005 -7.38904 0.0381557 295.493
54000 53.9005 -7.38855 0.0388005 300.487
54200 54.1005 -7.38852 0.0390648 302.533
54400 54.3005 -7.38951 0.0377934 292.687
54600 54.5005 -7.38813 0.0392955 304.32
54800 54.7005 -7.38859 0.0388853 301.143
55000 54.9005 -7.38939 0.038274 296.409
55200 55.1005 -7.38759 0.0398594 308.688
55400 55.3005 -7.38807 0.0394131 305.231
55600 55.5005 -7.38916 0.038224 296.022
55800 55.7005 -7.38805 0.0395661 306.416
56000 55.9005 -7.38857 0.0388529 300.892
56200 56.1005 -7.38887 0.0384179 297.524
56400 56.3005 -7.38802 0.0394122 305.224
56600 56.5005 -7.3895 0.0379695 294.051
56800 56.7005 -7.38902 0.0384938 298.112
57000 56.9005 -7.38831 0.0388492 300.864
57200 57.1005 -7.38899 0.0384143 297.496
57400 57.3005 -7.39012 0.0374849 290.298
57600 57.5005 -7.38866 0.0387973 300.462
57800 57.7005 -7.38873 0.0385807 298.784
58000 57.9005 -7.3897 0.0375185 290.558
58200 58.1005 -7.38859 0.039065 302.535
58400 58.3005 -7.38879 0.0386712 299.486
58600 58.5005 -7.38975 0.0374342 289.905
58800 58.7005 -7.38812 0.0391825 303.445
59000 58.9005 -7.38891 0.0388196 300.635
59200 59.1005 -7.38931 0.0380623 294.769
59400 59.3005 -7.38866 0.0388433 300.818
59600 59.5005 -7.38874 0.0385511 298.555
59800 59.7005 -7.38925 0.0383085 296.676
60000 59.9005 -7.38847 0.0391717 303.362
60200 60.1005 -7.38828 0.0387247 299.899
60400 60.3005 -7.38968 0.0379583 293.964
60600 60.5005 -7.38849 0.0389552 301.685
60800 60.7005 -7.38868 0.0387522 300.113
61000 60.9005 -7.38963 0.037732 292.212
61200 61.1005 -7.38922 0.0381545 295.484
61400 61.3005 -7.3884 0.0391479 303.177
61600 61.5005 -7.3896 0.0376734 291.758
61800 61.7005 -7.38899 0.0383516 297.01
62000 61.9005 -7.38837 0.0391763 303.397
62200 62.1005 -7.38955 0.0379849 294.171
62400 62.3005 -7.38818 0.0392401 303.892
62600 62.5005 -7.38848 0.0389748 301.836
62800 62.7005 -7.38918 0.0383125 296.708
63000 62.9005 -7.3875 0.0398828 308.868
63200 63.1005 -7.38876 0.0388253 300.679
63400 63.3005 -7.38882 0.0386691 299.469
63600 63.5005 -7.38727 0.0404189 313.02
63800 63.7005 -7.38816 0.0391786 303.415
64000 63.9005 -7.38904 0.0384347 297.654
64200 64.1005 -7.38878 0.0386369 299.22
64400 64.3005 -7.38796 0.0397082 307.516
64600 64.5005 -7.38905 0.0381932 295.783
64800 64.7005 -7.38865 0.0388814 301.113
65000 64.9005 -7.38774 0.0397599 307.917
65200 65.1005 -7.38897 0.0387187 299.854
65400 65.3005 -7.38887 0.0383891 297.301
65600 65.5005 -7.38798 0.0395511 306.3
65800 65.7005 -7.38867 0.0387972 300.461
66000 65.9005 -7.38937 0.0382334 296.095
66200 66.1005 -7.3891 0.0383336 296.871
66400 66.3005 -7.38803 0.0395109 305.988
66600 66.5005 -7.38935 0.0381141 295.171
66800 66.7005 -7.38917 0.0385248 298.352
67000 66.9005 -7.38822 0.0391276 303.02
67200 67.1005 -7.38903 0.0384454 297.737
67400 67.3005 -7.38926 0.0383217 296.779
67600 67.5005 -7.38832 0.0393571 304.798
67800 67.7005 -7.38908 0.0384429 297.718
68000 67.9005 -7.38899 0.0385281 298.378
68200 68.1005 -7.38835 0.0392126 303.678
68400 68.3005 -7.38913 0.0382404 296.149
68600 68.5005 -7.38908 0.0383225 296.785
68800 68.7005 -7.38837 0.0393692 304.891
69000 68.9005 -7.38924 0.038136 295.341
69200 69.1005 -7.38833 0.0395388 306.204
69400 69.3005 -7.38835 0.0389574 301.702
69600 69.5005 -7.38919 0.038416 297.509
69800 69.7005 -7.38828 0.0393388 304.656
70000 69.9005 -7.38724 0.0403985 312.862
70200 70.1005 -7.38874 0.0387888 300.396
70400 70.3005 -7.38901 0.0383933 297.333
70600 70.5005 -7.38789 0.0397299 307.684
70800 70.7005 -7.38897 0.0385176 298.296
71000 70.9005 -7.38895 0.0383969 297.361
71200 71.1005 -7.38805 0.0397242 307.64
71400 71.3005 -7.38933 0.038281 296.463
71600 71.5005 -7.38899 0.03853 298.392
71800 71.7005 -7.38818 0.0392728 304.144
72000 71.9005 -7.3889 0.038701 299.716
72200 72.1005 -7.38877 0.0388166 300.611
72400 72.3005 -7.38864 0.038614 299.042
72600 72.5005 -7.38903 0.0385239 298.344
72800 72.7005 -7.38854 0.0389546 301.68
73000 72.9005 -7.38807 0.0395642 306.401
73200 73.1005 -7.38935 0.038123 295.24
73400 73.3005 -7.38834 0.0391564 303.243
73600 73.5005 -7.38836 0.0391833 303.451
73800 73.7005 -7.38875 0.038648 299.306
74000 73.9005 -7.38873 0.0387298 299.939
74200 74.1005 -7.388 0.0396138 306.786
74400 74.3005 -7.38902 0.0383896 297.304
74600 74.5005 -7.3891 0.0384728 297.949
74800 74.7005 -7.38811 0.0393484 304.73
75000 74.9005 -7.38995 0.0375787 291.025
75200 75.1005 -7.38889 0.0387843 300.361
75400 75.3005 -7.38855 0.039023 302.21
75600 75.5005 -7.38968 0.0378783 293.345
75800 75.7005 -7.38792 0.0393754 304.939
76000 75.9005 -7.38888 0.0387437 300.047
76200 76.1005 -7.38919 0.0383852 297.271
76400 76.3005 -7.38759 0.0397811 308.081
76600 76.5005 -7.38905 0.0386966 299.682
76800 76.7005 -7.38885 0.0385265 298.364
77000 76.9005 -7.38716 0.0405524 314.055
77200 77.1005 -7.38775 0.0396037 306.707
77400 77.3005 -7.38916 0.0383338 296.872
77600 77.5005 -7.38855 0.0389227 301.433
77800 77.7005 -7.38793 0.0395399 306.213
78000 77.9005 -7.38892 0.0386317 299.18
78200 78.1005 -7.38874 0.0387747 300.287
78400 78.3005 -7.38764 0.0401342 310.816
78600 78.5005 -7.38888 0.0387495 300.092
78800 78.7005 -7.38869 0.0386597 299.396
79000 78.9005 -7.38776 0.0400868 310.448
79200 79.1005 -7.38931 0.0383433 296.946
79400 79.3005 -7.3885 0.0388297 300.713
79600 79.5005 -7.3881 0.0392887 304.267
79800 79.7005 -7.38984 0.0380379 294.581
80000 79.9005 -7.38867 0.0390535 302.446
80200 80.1005 -7.38867 0.0390037 302.06
80400 80.3005 -7.38892 0.0385201 298.315
80600 80.5005 -7.38884 0.0389027 301.278
80800 80.7005 -7.38901 0.0385713 298.712
81000 80.9005 -7.38919 0.0382982 296.597
81200 81.1005 -7.38795 0.039603 306.702
81400 81.3005 -7.38901 0.0386777 299.536
81600 81.5005 -7.38895 0.0386896 299.628
81800 81.7005 -7.38813 0.0394043 305.163
82000 81.9005 -7.38926 0.0383689 297.144
82200 82.1005 -7.38923 0.0385427 298.49
82400 82.3005 -7.3881 0.039478 305.733
82600 82.5005 -7.38897 0.0386464 299.293
82800 82.7005 -7.38902 0.0387043 299.742
83000 82.9005 -7.38788 0.0395494 306.287
83200 83.1005 -7.38922 0.0382958 296.578
83400 83.3005 -7.38889 0.0387277 299.923
83600 83.5005 -7.38697 0.0408536 316.387
83800 83.7005 -7.38786 0.0395923 306.619
84000 83.9005 -7.38926 0.038265 296.34
84200 84.1005 -7.38853 0.0392721 304.139
84400 84.3005 -7.38812 0.0395821 306.54
84600 84.5005 -7.38881 0.0386856 299.597
84800 84.7005 -7.38863 0.0389864 301.926
85000 84.9005 -7.38839 0.0393343 304.621
85200 85.1005 -7.38962 0.0379157 293.634
85400 85.3005 -7.38857 0.0387171 299.841
85600 85.5005 -7.38883 0.0389192 301.406
85800 85.7005 -7.3898 0.0380053 294.329
86000 85.9005 -7.38846 0.0389083 301.321
86200 86.1005 -7.38825 0.0389107 301.34
86400 86.3005 -7.38985 0.0379831 294.156
86600 86.5005 -7.38806 0.0394374 305.419
86800 86.7005 -7.38871 0.0386869 299.607
87000 86.9005 -7.3892 0.0383365 296.893
87200 87.1005 -7.38806 0.0398156 308.348
87400 87.3005 -7.3889 0.0384987 298.15
87600 87.5005 -7.38835 0.0391219 302.976
87800 87.7005 -7.38759 0.0400667 310.292
88000 87.9005 -7.38885 0.0388822 301.12
88200 88.1005 -7.38917 0.038096 295.031
88400 88.3005 -7.38788 0.0396942 307.408
88600 88.5005 -7.38899 0.0386033 298.959
88800 88.7005 -7.38902 0.0386446 299.28
89000 88.9005 -7.38732 0.0399667 309.518
89200 89.1005 -7.38799 0.0399024 309.02
89400 89.3005 -7.38903 0.0384578 297.833
89600 89.5005 -7.3891 0.0385043 298.193
89800 89.7005 -7.38773 0.0396659 307.189
90000 89.9005 -7.3891 0.0386129 299.034
90200 90.1005 -7.38885 0.0384985 298.148
90400 90.3005 -7.38819 0.0395396 306.211
90600 90.5005 -7.38924 0.0379136 293.618
90800 90.7005 -7.38873 0.0389587 301.712
91000 90.9005 -7.38855 0.0388154 300.602
91200 91.1005 -7.39014 0.0374958 290.382
91400 91.3005 -7.38849 0.0388061 300.53
91600 91.5005 -7.38877 0.0388996 301.254
91800 91.7005 -7.38983 0.0375279 290.631
92000 91.9005 -7.38881 0.0387905 300.41
92200 92.1005 -7.38889 0.0386728 299.498
92400 92.3005 -7.38993 0.0375011 290.424
92600 92.5005 -7.38857 0.0388521 300.886
92800 92.7005 -7.38859 0.0388397 300.79
93000 92.9005 -7.39009 0.0374046 289.676
93200 93.1005 -7.38927 0.0382776 296.437
93400 93.3005 -7.38845 0.0390174 302.167
93600 93.5005 -7.38811 0.0393197 304.508
93800 93.7005 -7.38957 0.0380405 294.601
94000 93.9005 -7.3888 0.0389129 301.357
94200 94.1005 -7.38827 0.0392103 303.66
94400 94.3005 -7.38896 0.0384212 297.549
94600 94.5005 -7.3898 0.0377165 292.092
94800 94.7005 -7.38862 0.0388872 301.158
95000 94.9005 -7.38857 0.038679 299.546
95200 95.1005 -7.39039 0.0372051 288.131
95400 95.3005 -7.38934 0.038386 297.276
95600 95.5005 -7.38848 0.0390676 302.555
95800 95.7005 -7.38949 0.0379338 293.775
96000 95.9005 -7.38889 0.0387639 300.203
96200 96.1005 -7.3887 0.0390478 302.402
96400 96.3005 -7.38925 0.0382313 296.078
96600 96.5005 -7.38737 0.0397195 307.604
96800 96.7005 -7.38904 0.0388049 300.521
97000 96.9005 -7.38929 0.038343 296.944
97200 97.1005 -7.3877 0.0398982 308.988
97400 97.3005 -7.38879 0.0388543 300.903
97600 97.5005 -7.38904 0.038622 299.104
97800 97.7005 -7.3875 0.0402331 311.581
98000 97.9005 -7.38831 0.0390865 302.702
98200 98.1005 -7.38911 0.038489 298.074
98400 98.3005 -7.389 0.0384958 298.127
98600 98.5005 -7.38854 0.0394171 305.262
98800 98.7005 -7.38964 0.0379455 293.866
99000 98.9005 -7.38919 0.0386349 299.204
99200 99.1005 -7.38883 0.0390286 302.253
99400 99.3005 -7.38964 0.0379971 294.265
99600 99.5005 -7.38878 0.0384138 297.492
99800 99.7005 -7.38835 0.0393486 304.731
100000 99.9005 -7.38939 0.0381344 295.329
100200 100.1 -7.38895 0.0385897 298.854
100400 100.301 -7.38874 0.0387428 300.04
100600 100.501 -7.38948 0.0381296 295.291
100800 100.7 -7.38911 0.0386436 299.272
101000 100.901 -7.38804 0.0392984 304.343
101200 101.1 -7.38894 0.038692 299.646
101400 101.301 -7.38876 0.0386899 299.63
101600 101.501 -7.38757 0.0397115 307.542
101800 101.7 -7.38826 0.0393869 305.028
102000 101.901 -7.38925 0.0384223 297.558
102200 102.1 -7.3882 0.0394645 305.629
102400 102.301 -7.38834 0.0390488 302.41
102600 102.501 -7.38915 0.0383273 296.822
102800 102.7 -7.3885 0.0394198 305.283
103000 102.901 -7.3888 0.0385664 298.674
103200 103.101 -7.38905 0.0382015 295.848
103400 103.301 -7.38832 0.0393311 304.596
103600 103.501 -7.38896 0.038831 300.723
103800 103.7 -7.38894 0.0384577 297.832
104000 103.9 -7.38783 0.0396311 306.919
104200 104.101 -7.38921 0.0387261 299.91
104400 104.301 -7.38917 0.0383883 297.294
104600 104.501 -7.38729 0.0402745 311.902
104800 104.7 -7.38713 0.0402073 311.382
105000 104.9 -7.38921 0.0384076 297.444
